Manchester United,2
Bournemouth,5
Brentford,9
Crystal Palace,12
Manchester City,14
West Ham United,19
Leicester,58
Arsenal,81
Leeds United,144
Everton,164
Aston Villa,209
Southampton,234
Chelsea,252
Liverpool,306
Fulham,3353
